metric	total
time(s)	4.954
time.contribution%	100.0
calls	5000.0
cpi	1.282
ipc	0.78
front_bound%	1.592
front_bound.contribution%	1.592
bad_speculation%	1.137
bad_speculation.contribution%	1.137
retiring%	17.738
retiring.contribution%	17.738
be_bound%	79.533
be_bound.contribution%	79.533
core_bound%	11.794
core_bound.contribution%	11.794
mem_bound%	67.739
mem_bound.contribution%	67.739
l1_bound%	0.0
l3_latency%	10.632
l3_latency.contribution%	10.632
l3_data_sharing%	0.0
l3_data_sharing.contribution%	0.0
l3_contested_accesses%	0.0
l3_contested_accesses.contribution%	0.0
store_bound%	0.0
store_bound.contribution%	0.0
local_dram_bound%	0.0
local_dram_bound.contribution%	0.0
remote_dram_bound%	0.0
remote_dram_bound.contribution%	0.0
be_bound_at_exe%	68.224
resource_stalls_cost%	88.237
resource_stalls_cost.contribution%	88.237
instructions	7.54e+09
cycles	9.67e+09
