version	cc	vec	tcm	turns	signalLen	kernelLen	threads	time(ms)	std(%)
v7-p100	nvcc	na	na	500	50000	50000	1	5968.6	2.2
v7-p100	nvcc	na	na	500	100000	100000	2	6957.0	2.0
v7-p100	nvcc	na	na	500	200000	200000	4	8303.6	1.2
v7-p100	nvcc	na	na	500	400000	400000	8	10851.2	0.6
v7-p100	nvcc	na	na	500	700000	700000	14	15958.0	0.4
v7-p100	nvcc	na	na	500	1400000	1400000	28	26551.6	0.3
v7-p100	nvcc	na	na	500	2800000	2800000	56	46955.2	0.1
v8-p100	nvcc	na	na	500	50000	50000	1	212.2	2.4
v8-p100	nvcc	na	na	500	100000	100000	2	776.6	4.3
v8-p100	nvcc	na	na	500	200000	200000	4	1173.6	1.3
v8-p100	nvcc	na	na	500	400000	400000	8	2136.4	0.5
v8-p100	nvcc	na	na	500	700000	700000	14	4060.0	0.3
v8-p100	nvcc	na	na	500	1400000	1400000	28	7786.8	0.1
v8-p100	nvcc	na	na	500	2800000	2800000	56	15108.4	0.1
v9-p100	nvcc	na	na	500	50000	50000	1	201.0	4.5
v9-p100	nvcc	na	na	500	100000	100000	2	436.4	2.6
v9-p100	nvcc	na	na	500	200000	200000	4	792.4	0.2
v9-p100	nvcc	na	na	500	400000	400000	8	1715.0	0.2
v9-p100	nvcc	na	na	500	700000	700000	14	3491.4	0.0
v9-p100	nvcc	na	na	500	1400000	1400000	28	6829.8	0.0
v9-p100	nvcc	na	na	500	2800000	2800000	56	13377.0	0.0
