sep=,
Name,Bandwidth,Type
DP Vector Add Peak (single-threaded),7950966788,compute
DP Vector Add Peak,222627070064,compute
SP Vector Add Peak (single-threaded),15899340809,compute
SP Vector Add Peak,445181542652,compute
Scalar Add Peak (single-threaded),1987989970,compute
Scalar Add Peak,55663719160,compute
DP Vector FMA Peak (single-threaded),31814899033,compute
DP Vector FMA Peak,890817172924,compute
SP Vector FMA Peak (single-threaded),63629668170,compute
SP Vector FMA Peak,1781630708760,compute
L3 Bandwidth (single-threaded),21779205842,memory
L3 Bandwidth,609817763576,memory
L2 Bandwidth (single-threaded),54150798059,memory
L2 Bandwidth,1516222345652,memory
L1 Bandwidth (single-threaded),190454091319,memory
L1 Bandwidth,5332714556932,memory
DRAM Bandwidth (single-threaded),8708154395,memory
DRAM Bandwidth,122657325019,memory
