name,bandwidth,std,type
DP Vector Add (single-threaded),7960335319.4,0.000715436039787,compute
DP Vector Add,222889388943.0,0.000715436039787,compute
SP Vector Add (single-threaded),15919378080.0,0.000823790759682,compute
SP Vector Add,445742586239.0,0.000823790759682,compute
Scalar Add (single-threaded),1990220137.02,0.000644054638697,compute
Scalar Add,55726163836.4,0.000644054638697,compute
DP Vector FMA (single-threaded),31835980070.5,0.000719750289923,compute
DP Vector FMA,891407441975.0,0.000719750289923,compute
SP Vector FMA (single-threaded),63676317069.6,0.000816095817602,compute
SP Vector FMA,1.78293687795e+12,0.000816095817602,compute
L3 (single-threaded),21831260614.9,0.00333054980247,memory
L3,611275297216.0,0.00333054980247,memory
L2 (single-threaded),54498952098.3,0.053255270967,memory
L2,1.52597065875e+12,0.053255270967,memory
L1 (single-threaded),190611727353.0,0.000995099961108,memory
L1,5.33712836589e+12,0.000995099961108,memory
DRAM (single-threaded),8647098956.18,0.00898344018995,memory
DRAM,122976416717.0,0.00590101823326,memory
