version	cc	vec	tcm	turns	points	threads	time(ms)	std(%)
v10-p100	nvcc	na	na	500	500000	256X256	36.8	2.0
v10-p100	nvcc	na	na	500	1000000	256X256	44.8	3.6
v10-p100	nvcc	na	na	500	2000000	256X256	63.8	2.7
v10-p100	nvcc	na	na	500	4000000	256X256	95.6	0.5
v10-p100	nvcc	na	na	500	7000000	256X256	147.6	0.7
v10-p100	nvcc	na	na	500	14000000	256X256	269.4	0.3
v10-p100	nvcc	na	na	500	28000000	256X256	521.0	0.0
v8-p100	nvcc	na	na	500	500000	512X512	394.6	4.2
v8-p100	nvcc	na	na	500	1000000	512X512	418.2	7.1
v8-p100	nvcc	na	na	500	2000000	512X512	502.4	5.4
v8-p100	nvcc	na	na	500	4000000	512X512	623.6	1.2
v8-p100	nvcc	na	na	500	7000000	512X512	759.2	2.0
v8-p100	nvcc	na	na	500	14000000	512X512	1145.0	0.8
v8-p100	nvcc	na	na	500	28000000	512X512	1896.6	0.5
v9-p100	nvcc	na	na	500	500000	512X512	385.4	8.2
v9-p100	nvcc	na	na	500	1000000	512X512	419.0	3.7
v9-p100	nvcc	na	na	500	2000000	512X512	502.0	3.2
v9-p100	nvcc	na	na	500	4000000	512X512	621.8	0.7
v9-p100	nvcc	na	na	500	7000000	512X512	776.2	1.4
v9-p100	nvcc	na	na	500	14000000	512X512	1146.0	0.6
v9-p100	nvcc	na	na	500	28000000	512X512	1895.6	0.2
